Processor,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
AMD,0-> 6-> 7-> 11-> 17-> 18,6
Dual,0-> 18-> 11-> 7,4
Core,0-> 1-> 3-> 4-> 7-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 18-> 19-> 20,15
E2,0-> 6-> 7-> 11-> 17-> 18,6
9000e,0-> 11,2
processor,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,19
1.5GHz,0-> 11,2
base,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
speed,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
Operating,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
system,0-> 3-> 5-> 7-> 10-> 11-> 14-> 16-> 18,9
Pre,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,16
loaded,0-> 1-> 2-> 4-> 6-> 9-> 11-> 12-> 13-> 15-> 17-> 20,12
Windows,0-> 1-> 2-> 4-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 15-> 17-> 18-> 20,15
10,0-> 1-> 2-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 17-> 18-> 19-> 20,17
Home,0-> 1-> 2-> 4-> 7-> 8-> 9-> 11-> 12-> 13-> 15-> 18-> 19-> 20,14
with,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
lifetime,0-> 1-> 2-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 15-> 17-> 19-> 20,14
validity,0-> 1-> 2-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 15-> 17-> 19-> 20,14
Display,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
15.6,0-> 1-> 2-> 4-> 5-> 6-> 7-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 17-> 18-> 20,17
inch,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
HD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 11-> 12-> 13-> 14-> 15-> 16-> 17,14
(1366x768),0-> 2-> 3-> 6-> 11-> 13-> 14-> 17,8
display,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Memory,0-> 1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 20,17
&,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Storage,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
4GB,0-> 2-> 3-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 13-> 14-> 15-> 17-> 18-> 19-> 20,17
DDR4,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
1TB,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
HDD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
Design,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
battery,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
Weight,0-> 5-> 9-> 10-> 11-> 16-> 20,7
1.77kg,0-> 11,2
Average,0-> 16-> 11-> 5,4
life,0-> 5-> 7-> 8-> 11-> 16-> 18-> 19,8
=,0-> 16-> 11-> 5,4
4,0-> 5-> 8-> 9-> 10-> 11-> 16-> 19-> 20,9
Hours,0-> 16-> 11-> 5,4
Lithium,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19,16
Ideal,0-> 11,2
for,0-> 3-> 6-> 8-> 10-> 11-> 14-> 17-> 19,9
basic,0-> 17-> 11-> 6,4
computing,0-> 11,2
needs,0-> 11,2
Warranty,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
This,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
genuine,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
HP,0-> 1-> 4-> 5-> 11-> 12-> 15-> 16,8
laptop,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
comes,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
1,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
year,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
domestic,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
warranty,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
from,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
covering,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
manufacturing,0-> 1-> 2-> 4-> 5-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 19-> 20,15
defects,0-> 1-> 2-> 4-> 5-> 8-> 9-> 10-> 11-> 12-> 13-> 15-> 16-> 19-> 20,15
and,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
not,0-> 1-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 16-> 17-> 19-> 20,17
physical,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
damage.,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
For,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
more,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
details,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,21
see,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
section,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
below.,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
installed,0-> 2-> 3-> 6-> 8-> 9-> 11-> 13-> 14-> 17-> 19-> 20,12
Software,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,16
None,0-> 1-> 3-> 4-> 6-> 8-> 11-> 12-> 14-> 15-> 17-> 19,12
In,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
the,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
box,0-> 10-> 11,3
Laptop,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
included,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
charger,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
Ports,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
CD,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
Drive,0-> 16-> 11-> 5,4
USB,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
2.0,0-> 1-> 2-> 3-> 4-> 6-> 8-> 11-> 12-> 13-> 14-> 15-> 17-> 19,14
2,0-> 1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,19
3.0,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
HDMI,0-> 1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 20,17
Audio,0-> 1-> 2-> 3-> 4-> 11-> 12-> 13-> 14-> 15,10
output,0-> 1-> 4-> 11-> 12-> 15,6
With,0-> 1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 19-> 20,17
DVD,0-> 16-> 11-> 5,4
drive,0-> 1-> 2-> 3-> 4-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19-> 20,19
all,0-> 11,2
your,0-> 16-> 11-> 5,4
Computing,0-> 11,2
Show,0-> 1-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 17-> 19-> 20,15
More,0-> 1-> 3-> 4-> 6-> 8-> 9-> 10-> 11-> 12-> 14-> 15-> 17-> 19-> 20,15
7th,1-> 4-> 6-> 9-> 12-> 15-> 17-> 20,8
Gen,1-> 2-> 3-> 4-> 5-> 6-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 20,15
Intel,1-> 2-> 3-> 4-> 5-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 19-> 20,15
i5,16-> 1-> 12-> 5,4
7200U,1-> 12,2
2.5GHz,1-> 12,2
System,1-> 2-> 3-> 4-> 5-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,17
FHD,1-> 4-> 9-> 12-> 15-> 20,6
(1920x1080),1-> 4-> 12-> 15,4
8GB,16-> 1-> 12-> 5,4
RAM,1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,17
620,1-> 4-> 5-> 12-> 15-> 16,6
Graphics,1-> 2-> 3-> 4-> 5-> 6-> 7-> 9-> 10-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 20,17
weight,1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 17-> 19-> 20,15
2.2,1-> 10-> 12,3
kg,1-> 4-> 8-> 10-> 12-> 15-> 19,7
Preinstalled,1-> 4-> 12-> 15,4
Box,1-> 2-> 3-> 4-> 6-> 8-> 9-> 10-> 12-> 13-> 14-> 15-> 17-> 19-> 20,15
Other,1-> 2-> 3-> 4-> 12-> 13-> 14-> 15,8
features,1-> 4-> 12-> 15,4
6th,2-> 10-> 13,3
Corei3,2-> 13,2
6006U,2-> 8-> 10-> 13-> 19,5
2GHz,2-> 13,2
Anti,2-> 13,2
glare,2-> 13,2
technology,2-> 13,2
520,2-> 13,2
2.18kg,2-> 13,2
Dell,2-> 3-> 6-> 13-> 14-> 17,6
MS,2-> 13,2
Office,2-> 13,2
Student,2-> 13,2
2016,2-> 13,2
out,2-> 3-> 5-> 13-> 14-> 16,6
Comes,2-> 13,2
accidental,2-> 13,2
damage,2-> 13,2
protection,2-> 13,2
date,2-> 13,2
of,2-> 3-> 5-> 8-> 10-> 13-> 14-> 16-> 19,9
purchase,2-> 3-> 10-> 13-> 14,5
›,2-> 5-> 7-> 13-> 16-> 18,6
See,2-> 5-> 7-> 13-> 16-> 18,6
product,2-> 5-> 7-> 13-> 16-> 18,6
8th,16-> 3-> 5-> 14,4
i3,3-> 4-> 8-> 9-> 10-> 14-> 15-> 19-> 20,9
8130U,3-> 14,2
2.20GHz,3-> 14,2
is,3-> 5-> 6-> 8-> 10-> 14-> 16-> 17-> 19,9
an,3-> 14,2
Ubuntu,3-> 14,2
based,3-> 5-> 10-> 14-> 16,5
laptop.,10-> 3-> 14,3
Requires,10-> 3-> 14,3
separate,10-> 3-> 14,3
installation,10-> 3-> 14,3
operating,3-> 5-> 7-> 10-> 14-> 16-> 18,7
software,10-> 3-> 14,3
(like,10-> 3-> 14,3
Windows),3-> 5-> 10-> 14-> 16,5
in,3-> 8-> 9-> 10-> 14-> 19-> 20,7
box.,16-> 3-> 5-> 14,4
Refer,10-> 3-> 14,3
to,3-> 5-> 8-> 10-> 14-> 16-> 19,7
website,10-> 3-> 14,3
drivers.,10-> 3-> 14,3
14,8-> 19-> 3-> 14,4
2.25kg,3-> 14,2
Hardware,17-> 3-> 6-> 14,4
Issues,17-> 3-> 6-> 14,4
user,3-> 9-> 10-> 14-> 20,5
guide,9-> 3-> 20-> 14,4
manuals,3-> 14,2
Features,3-> 14,2
Waves,3-> 14,2
MaxxAudio,3-> 14,2
7100U,4-> 15,2
2.4GHz,4-> 15,2
cores,4-> 15,2
3MB,4-> 15,2
cache,16-> 4-> 5-> 15,4
2.04,4-> 15,2
8250U,16-> 5,2
(1.6,16-> 5,2
GHz,5-> 9-> 10-> 16-> 20,5
6,8-> 16-> 19-> 5,4
MB,16-> 5,2
cores),16-> 5,2
Max,16-> 5,2
Boost,16-> 5,2
Clock,16-> 5,2
Up,16-> 5,2
3.4,16-> 5,2
Ghz,16-> 5,2
a,16-> 10-> 5,3
DOS,16-> 10-> 5,3
You,16-> 5,2
will,16-> 5,2
need,16-> 5,2
install,16-> 5,2
own,16-> 5,2
(such,16-> 5,2
as,16-> 5,2
separately.,16-> 5,2
disk,16-> 5,2
part,16-> 5,2
package,16-> 5,2
Full,16-> 5,2
SVA,16-> 5,2
BrightView,16-> 5,2
micro,16-> 5,2
edge,16-> 5,2
WLED,16-> 5,2
(1920,16-> 5,2
x,16-> 5,2
1080),16-> 5,2
Brightness,16-> 5,2
220,16-> 5,2
nits,16-> 5,2
2400,16-> 5,2
expandable,16-> 5,2
16,16-> 5,2
GB,16-> 5,2
5400,16-> 5,2
RPM,16-> 5,2
Battery,5-> 9-> 10-> 16-> 20,5
Thin,16-> 5,2
light,16-> 5,2
design,16-> 5,2
2.04kg,16-> 5,2
7,16-> 5,2
Fast,16-> 5,2
Charge,8-> 16-> 19-> 5,4
0,16-> 5,2
50%,16-> 5,2
under,16-> 5,2
45,16-> 5,2
minutes,8-> 16-> 19-> 5,4
UHD,16-> 5,2
onsite,16-> 5,2
1.4b,16-> 5,2
3.1,16-> 5,2
(Data,16-> 5,2
transfer,16-> 5,2
only);,16-> 5,2
2.0;,16-> 5,2
RJ,16-> 5,2
45;,16-> 5,2
headphone/microphone,16-> 5,2
combo,16-> 5,2
Writer,16-> 5,2
9000,17-> 18-> 6-> 7,4
1.80GHz,17-> 6,2
Integrated,6-> 9-> 10-> 17-> 20,5
2.5kg,17-> 6,2
SD,8-> 17-> 19-> 6,4
card,6-> 8-> 9-> 10-> 17-> 19-> 20,7
reader,6-> 8-> 9-> 10-> 17-> 19-> 20,7
.It,17-> 6,2
suitable,17-> 6,2
use,17-> 6,2
1.8GHz,18-> 7,2
5400rpm,18-> 7,2
hard,18-> 7,2
screen,9-> 18-> 20-> 7,4
Radeon,18-> 7,2
64Bit,18-> 7,2
5.5,18-> 7,2
hours,7-> 8-> 9-> 10-> 18-> 19-> 20,7
2.1kg,18-> 7,2
processor.,8-> 19,2
15,8-> 19,2
up,8-> 19,2
use.The,8-> 19,2
upto,8-> 19,2
loadedWindows,8-> 19,2
Memory&,8-> 19,2
2.1,8-> 19,2
Lenovo,8-> 9-> 10-> 19-> 20,5
Without,8-> 9-> 19-> 20,4
(SDR104),8-> 19,2
(SD,8-> 9-> 10-> 19-> 20,5
SDHC,8-> 9-> 10-> 19-> 20,5
SDXC,8-> 9-> 10-> 19-> 20,5
MMC),8-> 9-> 10-> 19-> 20,5
Combo,8-> 9-> 10-> 19-> 20,5
3.5mm,8-> 19,2
Stereo,8-> 19,2
Headphone,8-> 19,2
Output,8-> 19,2
LAN,8-> 9-> 10-> 19-> 20,5
Port,8-> 19,2
7020U,9-> 20,2
2.30,9-> 20,2
Antiglare,9-> 10-> 20,3
2.2kg,9-> 20,2
Life,9-> 10-> 20,3
Upto,9-> 10-> 20,3
5,9-> 10-> 20,3
Type,9-> 10-> 20,3
C,9-> 10-> 20,3
(USB,9-> 10-> 20,3
3.0),9-> 10-> 20,3
audio,9-> 10-> 20,3
microphone,9-> 10-> 20,3
jack,9-> 10-> 20,3
port,9-> 10-> 20,3
200g,9-> 10-> 20,3
2.00,10,1
.,10,1
Supported,10,1
Systems,10,1
manual,10,1
ODD,10,1
